"filename", "language", "Dart", "comment", "blank", "total"
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/api/api_authentication.dart", "Dart", -2, 0, 0, -2
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/api/api_shorts.dart", "Dart", 38, 0, 3, 41
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/authentication/authentication_functions.dart", "Dart", 58, 0, 6, 64
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/cards/short_card_minimal.dart", "Dart", 3, 0, 0, 3
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/cards/short_card_scaffold.dart", "Dart", 3, 1, 1, 5
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/get_content.dart", "Dart", 12, 0, -1, 11
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/main_appbar.dart", "Dart", -1, 0, 0, -1
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/menu_bar.dart", "Dart", 1, 0, 0, 1
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/router.dart", "Dart", 28, 1, 5, 34
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/routing_constants.dart", "Dart", 3, 0, 2, 5
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/top_nav.dart", "Dart", 29, 0, 0, 29
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/data/authentication_functions.dart", "Dart", -13, 0, -2, -15
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/main.dart", "Dart", 5, 2, 0, 7
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/authentication_signup.dart", "Dart", 155, 0, 6, 161
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/authentication_view.dart", "Dart", -44, 0, -3, -47
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/bookmark_view.dart", "Dart", 2, 0, 0, 2
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/create_short.dart", "Dart", 40, -9, 1, 32
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/draft_view.dart", "Dart", -12, 0, 0, -12
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/new_authentication_view.dart", "Dart", 40, 0, 4, 44
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/profile_view.dart", "Dart", -9, 0, 0, -9
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/views/your_shorts_view.dart", "Dart", -10, 0, 1, -9
"Total", "-", 326, -5, 23, 344
