"filename", "language", "Dart", "comment", "blank", "total"
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/api/api_authentication.dart", "Dart", -1, -2, -1, -4
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/api/api_posts.dart", "Dart", 7, 0, 0, 7
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/api/api_shorts.dart", "Dart", 89, 0, 6, 95
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/api/api_universal.dart", "Dart", 8, -6, -1, 1
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/actions/short_creation_actions.dart", "Dart", -14, 0, -3, -17
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/appbar/bottom_nav_bar.dart", "Dart", -39, 0, -5, -44
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/appbar/logo.dart", "Dart", -23, 0, -3, -26
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/appbar/main_appbar.dart", "Dart", -55, 0, -5, -60
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/appbar/menu_bar.dart", "Dart", -90, 0, -8, -98
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/buttons/add_button.dart", "Dart", -3, 0, -1, -4
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/buttons/buttons.dart", "Dart", -141, 0, -13, -154
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/buttons/main_buttons.dart", "Dart", 141, 0, 13, 154
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/buttons/vote_button.dart", "Dart", -4, 0, 0, -4
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/card_functions/options_functions.dart", "Dart", 38, 0, 2, 40
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/card_functions/reaction_functions.dart", "Dart", 131, 6, 7, 144
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/card_functions/report_dialog.dart", "Dart", 62, 0, 4, 66
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/card_functions/vote_functions.dart", "Dart", 29, 0, 5, 34
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/cards/creator_info.dart", "Dart", 39, 0, 4, 43
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/cards/pack_card.dart", "Dart", 93, 0, 6, 99
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/cards/read_time.dart", "Dart", 22, 0, 3, 25
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/cards/short_card.dart", "Dart", 280, 0, 16, 296
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/cards/short_card_minimal.dart", "Dart", 100, 0, 5, 105
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/creator_info.dart", "Dart", -35, 0, -4, -39
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/draft_view.dart", "Dart", -1, 0, -2, -3
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/get_content.dart", "Dart", 56, 1, 4, 61
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/pack_card.dart", "Dart", -97, 0, -6, -103
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/read_time.dart", "Dart", -22, 0, -3, -25
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/short_card.dart", "Dart", -194, 0, -15, -209
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/feed/vote_functionality.dart", "Dart", 0, 0, 1, 1
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/bottom_nav_bar.dart", "Dart", 43, 0, 5, 48
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/main_appbar.dart", "Dart", 55, 0, 5, 60
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/navigation/menu_bar.dart", "Dart", 149, 0, 11, 160
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/components/selection/category_bar.dart", "Dart", -41, 0, -5, -46
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/data/developer_info_data.dart", "Dart", 3, 0, 1, 4
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/data/enums.dart", "Dart", 8, 0, 1, 9
"/Users/leifetter/Documents/GitHub/lebenswiki_app/lib/data/example_data.dart", "Dart", -4, 0, -2, -6
